[ 2026-09-18 10:44:32,401 ] 20 root - INFO - Initiate the data ingestion
[ 2026-09-18 10:44:41,198 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-09-18 10:44:41,198 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-09-18 10:44:41,199 ] 75 root - INFO - Exporting train and test file path.
[ 2026-09-18 10:44:41,457 ] 84 root - INFO - Exported train and test file path.
[ 2026-09-18 10:44:41,459 ] 22 root - INFO - Data Initiation Completed
[ 2026-09-18 10:44:41,635 ] 27 root - INFO - Initiate the data Validation
[ 2026-09-18 10:44:41,895 ] 32 root - INFO - Required number of columns:2
[ 2026-09-18 10:44:41,895 ] 33 root - INFO - Data frame has columns:31
[ 2026-09-18 10:44:41,896 ] 32 root - INFO - Required number of columns:2
[ 2026-09-18 10:44:41,896 ] 33 root - INFO - Data frame has columns:31
[ 2026-09-18 10:44:42,714 ] 29 root - INFO - data Validation Completed
[ 2026-09-18 10:44:42,727 ] 32 root - INFO - data Transformation started
[ 2026-09-18 10:44:42,727 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-09-18 10:44:42,727 ] 65 root - INFO - Starting data transformation
[ 2026-09-18 10:44:42,870 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-09-18 10:44:42,871 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-09-18 10:44:43,224 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-09-18 10:44:43,230 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-09-18 10:44:43,230 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-09-18 10:44:43,240 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-09-18 10:44:43,245 ] 36 root - INFO - data Transformation completed
